"asc_train","asc_car","b_tt","b_cost","logLike"
0,0,0,0,-6964.66297919146
-0.0282684309858766,-0.00154284961152461,-0.0183623703677843,-0.00664505978143629,-6886.81006252271
-0.557534121103564,-0.0282588725695249,-0.341251028779622,-0.219355550593474,-5866.649938531
-1.10715108608636,-0.348362078290261,-0.710054889409274,-0.887628563477065,-5388.89326204181
-0.966676903471192,-0.340842584701384,-0.90062761659772,-0.992899054498652,-5354.83260470143
-0.887205255369847,-0.273224400948122,-1.01991586967627,-1.02405357148434,-5341.99136488966
-0.827798292339828,-0.236308894703771,-1.09997860583289,-1.04403282358628,-5336.29252018005
-0.788646279143408,-0.210533357020377,-1.15446523304612,-1.05624691308465,-5333.65761895695
-0.715645086689602,-0.177522133531682,-1.2809674366295,-1.10508000680588,-5331.53016171087
-0.713767057972631,-0.157279292230431,-1.26324936006901,-1.08307570860216,-5331.29893257439
-0.708072775465548,-0.159885403111411,-1.26771922377148,-1.08317884403429,-5331.26832846649
-0.706301854717303,-0.157790992418648,-1.27077840280224,-1.0827291473314,-5331.25977891452
-0.701391755986587,-0.154678256342427,-1.27785325751173,-1.0832749361462,-5331.25209511822
-0.701307141327627,-0.154678870693026,-1.27782834872023,-1.08361317896192,-5331.25202001456
-0.701192648151886,-0.154636609463455,-1.27786246014517,-1.0837978628188,-5331.25200694268
-0.701188147998124,-0.154633453412776,-1.27785997928666,-1.08379212904038,-5331.25200691672
